3753.0000000000000000	1.0000000000000000	3871	7	27576656	0.590000 	 GenLen: 	 100 	 PFSize: 	 102 	 HypVol: 	 12998215.00000000 	 IGD: 	 31.04166667 	 GD: 	 12.57843137 	 MaxSpread: 	 1706256.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19941559 	 LastPfUpdateTime: 	 3128.94 	LogFile:	_mogomea_knap_100_033.txt	0001110100100111111101111001100110010111110111010110111110101110010101011100110001110010111000110001	3368	1568738263
3760.0000000000000000	1.0000000000000000	283306	103	28070522	0.590000 	 GenLen: 	 100 	 PFSize: 	 109 	 HypVol: 	 12978986.00000000 	 IGD: 	 32.24166667 	 GD: 	 23.77981651 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21473624 	 LastPfUpdateTime: 	 3340.18 	LogFile:	_mogomea_knap_100_034.txt	0001110100010111111101111001110011010111110110010110111110101111011101011100110101110000110000010001	3377	1568738269
3711.5000000000000000	1.0000000000000000	911967	171	28073411	0.590000 	 GenLen: 	 100 	 PFSize: 	 103 	 HypVol: 	 12978267.00000000 	 IGD: 	 24.95833333 	 GD: 	 13.55339806 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21190275 	 LastPfUpdateTime: 	 3314.56 	LogFile:	_mogomea_knap_100_035.txt	0001110101010111111101111001110111010100110110000110111110101111011101011110110101110000110000010001	3356	1568738328
3807.0000000000000000	1.0000000000000000	3541	1	28228915	0.600000 	 GenLen: 	 100 	 PFSize: 	 110 	 HypVol: 	 12977836.00000000 	 IGD: 	 18.14166667 	 GD: 	 11.29090909 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21784254 	 LastPfUpdateTime: 	 2821.23 	LogFile:	_mogomea_knap_100_036.txt	0001110110100111011101111001100011010101110111011110111110101110011111011100110101110000110000110001	2855	1568738379
3722.5000000000000000	1.0000000000000000	70719	95	25546491	0.580000 	 GenLen: 	 100 	 PFSize: 	 104 	 HypVol: 	 12978506.00000000 	 IGD: 	 28.25000000 	 GD: 	 15.74038462 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19356854 	 LastPfUpdateTime: 	 3282.17 	LogFile:	_mogomea_knap_100_037.txt	0101110110100111011101111001100011010101110101001110111110101110011101001100110100110010110100110001	3314	1568738434
3705.5000000000000000	1.0000000000000000	72038	99	26374143	0.580000 	 GenLen: 	 100 	 PFSize: 	 102 	 HypVol: 	 12980061.00000000 	 IGD: 	 33.29166667 	 GD: 	 25.82352941 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20032893 	 LastPfUpdateTime: 	 3249.68 	LogFile:	_mogomea_knap_100_038.txt	0001110110000101111101111001110110010111110110010110111111101111001111001100110100110000110000110001	3282	1568738508
3748.5000000000000000	1.0000000000000000	30566	91	28025323	0.590000 	 GenLen: 	 100 	 PFSize: 	 102 	 HypVol: 	 12997862.00000000 	 IGD: 	 34.05000000 	 GD: 	 10.76470588 	 MaxSpread: 	 1706256.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21365468 	 LastPfUpdateTime: 	 3276.70 	LogFile:	_mogomea_knap_100_039.txt	0101110110010111111101111000100111010101010110000110111111101111011101111100110100010000111000110001	3336	1568738516
3705.5000000000000000	1.0000000000000000	87368	102	29029788	0.590000 	 GenLen: 	 100 	 PFSize: 	 109 	 HypVol: 	 12979640.00000000 	 IGD: 	 30.89166667 	 GD: 	 26.90825688 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22082645 	 LastPfUpdateTime: 	 3200.07 	LogFile:	_mogomea_knap_100_040.txt	0000110101010111011101111001110011010110110110001110111110101111011101011110110101110000110000110001	3267	1568738571
3709.5000000000000000	1.0000000000000000	726579	184	28028099	0.580000 	 GenLen: 	 100 	 PFSize: 	 105 	 HypVol: 	 12994156.00000000 	 IGD: 	 25.10833333 	 GD: 	 46.81904762 	 MaxSpread: 	 1844714.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21655201 	 LastPfUpdateTime: 	 3231.26 	LogFile:	_mogomea_knap_100_041.txt	0001110101010111111101111001100010010110110110000110111110101111011101011110110101110000110000110001	3289	1568738578
3712.5000000000000000	1.0000000000000000	143426	115	27474031	0.600000 	 GenLen: 	 100 	 PFSize: 	 114 	 HypVol: 	 12978268.00000000 	 IGD: 	 22.25833333 	 GD: 	 15.56140351 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21115139 	 LastPfUpdateTime: 	 3269.26 	LogFile:	_mogomea_knap_100_042.txt	0101110101110101011001111001110111010101110110010110111110101110011101011100110101110000110100110001	3316	1568738584
