24.634048	25.000000	702	0	1320	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1312  	LogFile:	_mop3ok_t5_it5_25_044.txt	0000000000000000000000000	0	1563058100
24.184275	25.000000	604	0	604	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 598  	LogFile:	_mop3ok_t5_it5_25_045.txt	1111111111111111111111111	0	1563058105
24.444632	25.000000	792	0	1224	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1164  	LogFile:	_mop3ok_t5_it5_25_046.txt	0000000000000000000000000	0	1563058110
24.431406	25.000000	592	0	800	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 794  	LogFile:	_mop3ok_t5_it5_25_047.txt	0000000000000000000000000	0	1563058115
24.870127	25.000000	1192	0	1394	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1388  	LogFile:	_mop3ok_t5_it5_25_048.txt	1111111111111111111111111	1	1563058120
24.975517	25.000000	1502	1	1930	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1926  	LogFile:	_mop3ok_t5_it5_25_049.txt	0000000000000000000000000	1	1563058125
49.335918	50.000000	800	1	1862	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1740  	LogFile:	_mop3ok_t5_it5_50_000.txt	11111111111111111111111111111111111111111111111111	1	1563058130
49.383663	50.000000	798	1	2688	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2674  	LogFile:	_mop3ok_t5_it5_50_001.txt	11111111111111111111111111111111111111111111111111	1	1563058138
49.999729	50.000000	1232	1	1654	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1650  	LogFile:	_mop3ok_t5_it5_50_002.txt	00000000000000000000000000000000000000000000000000	1	1563058143
48.816154	50.000000	2068	1	2918	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2908  	LogFile:	_mop3ok_t5_it5_50_003.txt	00000000000000000000000000000000000000000000000000	1	1563058148
48.325008	50.000000	2068	0	2068	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2058  	LogFile:	_mop3ok_t5_it5_50_004.txt	00000000000000000000000000000000000000000000000000	1	1563058153
49.374928	50.000000	1028	0	2536	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2524  	LogFile:	_mop3ok_t5_it5_50_005.txt	00000000000000000000000000000000000000000000000000	0	1563058159
49.147789	50.000000	1204	0	2260	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2246  	LogFile:	_mop3ok_t5_it5_50_006.txt	11111111111111111111111111111111111111111111111111	0	1563058164
49.100178	50.000000	1428	0	2932	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2920  	LogFile:	_mop3ok_t5_it5_50_007.txt	00000000000000000000000000000000000000000000000000	0	1563058169
49.779182	50.000000	1620	0	2262	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2252  	LogFile:	_mop3ok_t5_it5_50_008.txt	11111111111111111111111111111111111111111111111111	0	1563058174
48.846130	50.000000	394	0	1446	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1434  	LogFile:	_mop3ok_t5_it5_50_009.txt	11111111111111111111111111111111111111111111111111	0	1563058179
