21.057772	25.000000	100	0	200	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 152  	LogFile:	_mop3ok_01max_25_037.txt	0000000000000000000000000	0	1563055433
22.089296	25.000000	100	0	294	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 246  	LogFile:	_mop3ok_01max_25_038.txt	1111111111111111111111111	0	1563055438
24.873775	25.000000	190	0	390	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 342  	LogFile:	_mop3ok_01max_25_039.txt	1111111111111111111111111	0	1563055443
19.729454	25.000000	198	0	198	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 150  	LogFile:	_mop3ok_01max_25_040.txt	1111111111111111111111111	0	1563055448
23.471786	25.000000	88	0	286	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 238  	LogFile:	_mop3ok_01max_25_041.txt	0000000000000000000000000	0	1563055453
19.675283	25.000000	100	0	196	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 148  	LogFile:	_mop3ok_01max_25_042.txt	1111111111111111111111111	0	1563055458
21.813135	25.000000	392	0	392	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 344  	LogFile:	_mop3ok_01max_25_043.txt	0000000000000000000000000	0	1563055463
19.032869	25.000000	100	0	196	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 148  	LogFile:	_mop3ok_01max_25_044.txt	0000000000000000000000000	0	1563055468
24.114201	25.000000	100	0	296	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 248  	LogFile:	_mop3ok_01max_25_045.txt	1111111111111111111111111	0	1563055473
22.067965	25.000000	198	0	388	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 340  	LogFile:	_mop3ok_01max_25_046.txt	1111111111111111111111111	0	1563055478
23.706015	25.000000	100	0	596	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 518  	LogFile:	_mop3ok_01max_25_047.txt	0000000000000000000000000	0	1563055486
