0.134722	1.000000	1753	0	32949445	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1094  	LogFile:	_mogomea_zz_paint_06_02__040.txt	0010010000001100100100000111000010001000010101	859	1555434208
0.134722	1.000000	398	0	32902056	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1194  	LogFile:	_mogomea_zz_paint_06_02__041.txt	0010100000001100010011010000100000110000001101	875	1555434216
0.134722	1.000000	379	0	32994982	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1582  	LogFile:	_mogomea_zz_paint_06_02__042.txt	0010010000001100001010011000100001001001001010	896	1555434399
0.134722	1.000000	1801	0	26918850	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3801  	LogFile:	_mogomea_zz_paint_06_02__043.txt	0001010000001100001100001010100001001001100001	177	1555434889
0.134722	1.000000	367	0	32936186	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1894  	LogFile:	_mogomea_zz_paint_06_02__044.txt	1000100000001100010100010101000000110000011001	827	1555434948
0.134722	1.000000	348	0	32922396	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2193  	LogFile:	_mogomea_zz_paint_06_02__045.txt	0100010000001100001010110000100010010000001110	846	1555434984
0.134722	1.000000	1809	0	32911106	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4683  	LogFile:	_mogomea_zz_paint_06_02__046.txt	0001100000001100010100110000100000101001000101	852	1555435041
0.134722	1.000000	1257	0	33044314	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 422  	LogFile:	_mogomea_zz_paint_06_02__047.txt	0100010000001100001010000110100000101001001010	873	1555435067
0.134722	1.000000	380	0	33003324	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 896  	LogFile:	_mogomea_zz_paint_06_02__048.txt	0001010000001100001010100010100001010000011001	858	1555435075
0.134722	1.000000	1226	0	32941476	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 861  	LogFile:	_mogomea_zz_paint_06_02__049.txt	1000010000001101000100000111000001001000011010	881	1555435092
0.125305	1.000000	566	0	25011547	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1622  	LogFile:	_mogomea_zz_paint_08_02__000.txt	1000010000001100100100010010100001010000001101000001101100001011011001	244	1555435299
0.125305	1.000000	624	0	25829117	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1758  	LogFile:	_mogomea_zz_paint_08_02__001.txt	0001100000001100010101000011000000110000001110010010010010010001011101	357	1555435545
0.125305	1.000000	591	0	25796734	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 15926  	LogFile:	_mogomea_zz_paint_08_02__002.txt	0010010000001100100100001011000010001001100010000001101100000111101001	313	1555435778
0.125305	1.000000	535	0	25909387	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18420  	LogFile:	_mogomea_zz_paint_08_02__003.txt	0001100000001101000100000111000001001000010101000000111011100010001110	328	1555435833
