0.238083	1.000000	6205282	22	25000378	0.571429 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2406  	LogFile:	_mop3ok_zz_paint_08_02__011.txt	1011011101011110110101111010100000110111110101001111011010001101000010	96	1555433658
0.238074	1.000000	10511102	41	25001644	0.542857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 9600  	LogFile:	_mop3ok_zz_paint_08_02__012.txt	1101011011001101001101100110101101101101100010011110101101000010010101	91	1555433756
0.238049	1.000000	3131158	13	25000252	0.542857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17802  	LogFile:	_mop3ok_zz_paint_08_02__013.txt	1000100110001100001010101110110011101110110001111010011100111011010101	93	1555433851
0.238095	1.000000	12526064	47	25000200	0.514286 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 50254  	LogFile:	_mop3ok_zz_paint_08_02__014.txt	0101010110000101010001011111010110010110100100000001101010111101111101	91	1555433946
0.238095	1.000000	6136764	29	25000672	0.414286 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4146  	LogFile:	_mop3ok_zz_paint_08_02__015.txt	0000100000000111111010001011000100000011111101010100101010011111000000	98	1555434039
0.238038	1.000000	19760274	83	25000720	0.557143 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 14736  	LogFile:	_mop3ok_zz_paint_08_02__016.txt	1011101001111111011100110111000011010101000001101100000101010101111110	102	1555434139
0.238074	1.000000	19381276	76	25001020	0.442857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8000  	LogFile:	_mop3ok_zz_paint_08_02__017.txt	0110010101101100010011110111000000001101100010001110011100001001000101	97	1555434243
0.238085	1.000000	19625972	85	25000384	0.485714 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7510  	LogFile:	_mop3ok_zz_paint_08_02__018.txt	1000010111111110001100001111001101001010101010011010011100100000100101	106	1555434341
0.238095	1.000000	21939332	86	25001628	0.457143 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 6482  	LogFile:	_mop3ok_zz_paint_08_02__019.txt	0011011000101100001000001100100110110010010010010001011101111011010101	97	1555434449
0.238095	1.000000	7359828	35	25000196	0.500000 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1768  	LogFile:	_mop3ok_zz_paint_08_02__020.txt	0000011110011111101101000110010010101011100010001011111010011101000001	92	1555434548
