8380132.0000000000000000	1.0000000000000000	1602	0	25000342	0.520000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18422692.00000000 	 IGD: 	 707246.56666667 	 GD: 	 539134.66666667 	 MaxSpread: 	 234653.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 998 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_033.txt	1010010010000100000101001010111101111011001101001000101111100111110110011101011100011100101010010101	15770	1568662018
7726593.0000000000000000	1.0000000000000000	1201	0	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 7 	 HypVol: 	 19128575.00000000 	 IGD: 	 751738.38333333 	 GD: 	 738687.00000000 	 MaxSpread: 	 322634.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 827 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_034.txt	0101101000111011100111010101111001100110100011101000011111111100011010111000111100100001000000001000	15506	1568662023
7463808.0000000000000000	1.0000000000000000	1201	0	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18498414.00000000 	 IGD: 	 672680.39166667 	 GD: 	 622848.20000000 	 MaxSpread: 	 273346.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 987 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_035.txt	1000110111110001010001100010111011100001011110111100010100101101001110001100101110001001110011010000	15541	1568662028
6799208.0000000000000000	1.0000000000000000	1602	0	25000342	0.470000 	 GenLen: 	 100 	 PFSize: 	 6 	 HypVol: 	 18909627.00000000 	 IGD: 	 732159.51666667 	 GD: 	 720612.50000000 	 MaxSpread: 	 379538.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1132 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_036.txt	0001000101100110001011110111010000100111101100110000101001101011000110100011100100011010111011000001	15557	1568662033
8683584.0000000000000000	1.0000000000000000	1201	0	25000342	0.550000 	 GenLen: 	 100 	 PFSize: 	 6 	 HypVol: 	 18667825.00000000 	 IGD: 	 678200.08333333 	 GD: 	 668356.50000000 	 MaxSpread: 	 241541.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1416 	 LastPfUpdateTime: 	 0.02 	LogFile:	_mop3ok_knap_100_037.txt	0111011110000000110101001111000101000001110100001101001111101111011111010111010101101101011101001001	15520	1568662038
7424181.0000000000000000	1.0000000000000000	1602	0	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18813504.00000000 	 IGD: 	 568806.71666667 	 GD: 	 509777.50000000 	 MaxSpread: 	 1480.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 561 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_038.txt	1100000000011110100110000101000000000010111110100111111111111100001001001010010011100010111101111001	15446	1568662043
7502104.0000000000000000	1.0000000000000000	1201	0	25000342	0.530000 	 GenLen: 	 100 	 PFSize: 	 7 	 HypVol: 	 18632421.00000000 	 IGD: 	 712592.15000000 	 GD: 	 691796.14285714 	 MaxSpread: 	 274261.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 921 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_039.txt	1111110010111011100110101010010001101010111100100001110010010011001000000010111100111000111011111001	15681	1568662048
6128425.0000000000000000	1.0000000000000000	1602	0	25000342	0.450000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18519239.00000000 	 IGD: 	 575267.88333333 	 GD: 	 597891.00000000 	 MaxSpread: 	 152290.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 961 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_040.txt	0110001001111010100100100000000011001100010000001100101010110101110000111100101100001011111001101110	15676	1568662053
8721356.0000000000000000	1.0000000000000000	1201	0	25000342	0.550000 	 GenLen: 	 100 	 PFSize: 	 6 	 HypVol: 	 19119547.00000000 	 IGD: 	 740103.71666667 	 GD: 	 893301.33333333 	 MaxSpread: 	 364240.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1173 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_041.txt	0110111011011110100000110011100111111100101101011100011010011111111110000101110011011000010101000000	15599	1568662058
6608590.0000000000000000	1.0000000000000000	1201	0	25000342	0.460000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18638621.00000000 	 IGD: 	 579235.35833333 	 GD: 	 701381.33333333 	 MaxSpread: 	 210797.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 863 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_042.txt	1111001101100100010100100001010101111111000001001100110100001111100101010100000001110000100101111000	15553	1568662063
