40014606.0000000000000000	1.0000000000000000	2805	0	25000342	0.464000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 121756967.00000000 	 IGD: 	 5563856.83745583 	 GD: 	 5308146.80000000 	 MaxSpread: 	 862853.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 541 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_032.txt	0110100111011100101010111101101011101000000010011100111010000011101110010110001100011000011100101011000011001111111101000000111000011101111100111011100100011100110100000100011000000110001101010111110000110011000000011001101000010111100000000000010010	8865	1568968898
44003250.0000000000000000	1.0000000000000000	1201	0	25000342	0.480000 	 GenLen: 	 250 	 PFSize: 	 3 	 HypVol: 	 122900992.00000000 	 IGD: 	 5624172.12544170 	 GD: 	 5279463.66666667 	 MaxSpread: 	 613241.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 772 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_033.txt	0111100100110010101101101000111011110101111101100001010010100101100010110111100100011000011111110010110010010000001001110010011101111001011011111010000100100100001001000010000010100001001011101100101100101111101011000000100110010110100111000000111001	8857	1568968903
44842560.0000000000000000	1.0000000000000000	1201	0	25000342	0.504000 	 GenLen: 	 250 	 PFSize: 	 8 	 HypVol: 	 122603921.00000000 	 IGD: 	 6168702.11307420 	 GD: 	 5749697.62500000 	 MaxSpread: 	 1317188.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1165 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_034.txt	1110001111001110000001010111010001000010111011011000110001011100000101000011100011011010011111110001010001011100111111010111000011000100001000010111111101000011110100101111000100001111111111100001100110100110110000101110001011010001100011110100011010	8877	1568968908
40501053.0000000000000000	1.0000000000000000	1201	0	25000342	0.480000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123322368.00000000 	 IGD: 	 5988023.98586572 	 GD: 	 5434599.25000000 	 MaxSpread: 	 563152.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 791 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_035.txt	0111101000100001000011110001100100101001001111100000001000010101101100101100110010001000101111000010101010111011100010110001111000011110111010000100110101100110110110101100100000001111001010001100110011100000110110101100011011010100010101111111001011	8862	1568968913
43806312.0000000000000000	1.0000000000000000	1201	0	25000342	0.488000 	 GenLen: 	 250 	 PFSize: 	 6 	 HypVol: 	 122822850.00000000 	 IGD: 	 5538142.48586572 	 GD: 	 5446706.00000000 	 MaxSpread: 	 870202.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 755 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_036.txt	0100010001110100101111101100011110000110000101011111101101111110000001000010111011000010000100101101001001111111010000101011110110101001001000101011011100010011101111010011100010100000110011110011111001110000101110000000010110000100000000001011111111	8856	1568968918
45913776.0000000000000000	1.0000000000000000	1201	0	25000342	0.488000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 123923553.00000000 	 IGD: 	 6249670.95053004 	 GD: 	 5573726.40000000 	 MaxSpread: 	 771586.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1005 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_037.txt	1101110110011011000011011010110010100001100001100111101100010111001000110111111000010100000100001111111010110010000110001111001100000000010011010000110110110110010100110100100110100100100110010011011001011111111000001011110001000001111110111010001100	8850	1568968923
46727632.0000000000000000	1.0000000000000000	1201	0	25000342	0.520000 	 GenLen: 	 250 	 PFSize: 	 3 	 HypVol: 	 121684574.00000000 	 IGD: 	 5046071.72791519 	 GD: 	 5071349.33333333 	 MaxSpread: 	 351656.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1119 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_038.txt	0000111101100110100001110101000001011110110111010010001111100110100010011000101101010110101110101100011001110110110001110000110001011011100001011111001111010011000100011101000010001010010010111110010111011111110010100101101101000001101011100100111101	8851	1568968928
48619965.0000000000000000	1.0000000000000000	1201	1	25000342	0.496000 	 GenLen: 	 250 	 PFSize: 	 3 	 HypVol: 	 123729887.00000000 	 IGD: 	 5908332.91342756 	 GD: 	 5510675.00000000 	 MaxSpread: 	 519962.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1132 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_039.txt	0001011010001001101100101000001101110011011010101000110010001111001111111110101100000100111010000111100010010010101011010100101011101110110111100100100010110111011101000010001100001011100011100001011110011001100100100011000100010110111111010101010100	8845	1568968933
41190170.0000000000000000	1.0000000000000000	2404	1	25000342	0.480000 	 GenLen: 	 250 	 PFSize: 	 6 	 HypVol: 	 124206388.00000000 	 IGD: 	 5955950.90106007 	 GD: 	 5780165.83333333 	 MaxSpread: 	 525394.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1164 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_040.txt	0001000101001011000110100110010110100011100000101100100111001011101011110110001001101111100010011111001100100011000011100011001010010011010010000100101101110001011001010000010011001000001101101010011110100111100101010011011101011011001110010101110010	8842	1568968938
49459254.0000000000000000	1.0000000000000000	1602	0	25000342	0.516000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 124000152.00000000 	 IGD: 	 5823712.44522968 	 GD: 	 5720873.00000000 	 MaxSpread: 	 1840165.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 973 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_041.txt	1001001111000101010001111101000000010011100100101101110100111111101000110101101110110111101010000101010011001100110101011000010111100100110100011101001010011000011111010011010100101111101100011111001010000010001100011110000111001110000011101111101100	8844	1568968944
